"STAT_AREA" "GNMFSAREA"
"1171" "765400" "541"
"1172" "765430" "541"
"1173" "765500" "523"
"1174" "765530" "523"
"1175" "765600" "523"
"1176" "765630" "523"
"1177" "765700" "523"
"1178" "765730" "523"
"1179" "765800" "523"
"1180" "765830" "521"
"1181" "765900" "521"
"1182" "765930" "521"
"1183" "766000" "524"
"1184" "766030" "524"
"1185" "766100" "524"
"1186" "766130" "524"
"1187" "766200" "524"
"1188" "774730" "542"
"1189" "774800" "542"
"1190" "774830" "542"
"1191" "774900" "542"
"1192" "774930" "542"
"1193" "775000" "542"
"1194" "775030" "542"
"1195" "775100" "542"
"1196" "775131" "542"
"1197" "775132" "542"
"1198" "775133" "542"
"1199" "775134" "542"
"1200" "775135" "542"
"1201" "775137" "542"
"1202" "775138" "542"
"1203" "775139" "542"
"1204" "775200" "542"
"1205" "775230" "542"
"1206" "775300" "542"
"1207" "775330" "542"
"1208" "775400" "542"
"1209" "775430" "542"
"1210" "775500" "523"
"1211" "775530" "550"
"1212" "775600" "550"
"1213" "775630" "550"
"1214" "775700" "550"
"1215" "775730" "523"
"1216" "775800" "523"
"1217" "775830" "521"
"1218" "775900" "521"
"1219" "775930" "521"
"1220" "776000" "524"
"1221" "776030" "524"
"1222" "776100" "524"
"1223" "776130" "524"
"1224" "784730" "542"
"1225" "784800" "542"
"1226" "784830" "542"
"1227" "784900" "542"
"1228" "784930" "542"
"1229" "785000" "542"
"1230" "785030" "542"
"1231" "785101" "542"
"1232" "785102" "542"
"1233" "785103" "542"
"1234" "785131" "542"
"1235" "785132" "542"
"1236" "785134" "542"
"1237" "785135" "542"
"1238" "785200" "542"
